.mode columns
.headers on
CREATE TABLE POKEMON
(ID			INT			NOT NULL,
Name			VARCHAR(20)		NOT NULL,
Weight			DECIMAL			NOT NULL,
Height			DECIMAL			NOT NULL,
Type1			INT			NOT NULL,
Type2			INT,
HabitatID		INT			NOT NULL,
PRIMARY KEY(ID),
FOREIGN KEY(Type1) REFERENCES TYPES(TypeID),
FOREIGN KEY(Type2) REFERENCES TYPES(TypeID),
FOREIGN KEY(HabitatID) REFERENCES HABITATS(HabitatID)
);
CREATE TABLE TYPES
(TypeID			INT			NOT NULL,
Name			VARCHAR(20)		NOT NULL,
PRIMARY KEY(TypeID)
);
CREATE TABLE EVOLUTIONS
(BabyID			INT			NOT NULL,
EvolvedID		INT			NOT NULL,
Method			VARCHAR(20)		NOT NULL,
PRIMARY KEY(BabyID, EvolvedID),
FOREIGN KEY(BabyID) REFERENCES POKEMON(ID),
FOREIGN KEY(EvolvedID) REFERENCES POKEMON(ID)
);
CREATE TABLE TYPERELATIONS
(AttackerTypeID		INT			NOT NULL,
DefenderTypeID		INT			NOT NULL,
Multiplier		DECIMAL			NOT NULL,
PRIMARY KEY(AttackerTypeID, DefenderTypeID),
FOREIGN KEY(AttackerTypeID) REFERENCES TYPES(TypeID),
FOREIGN KEY(DefenderTypeID) REFERENCES TYPES(TypeID)
);
CREATE TABLE SPRITES
(PokemonID		INT			NOT NULL,
Picture			BLOB			NOT NULL,
ShinyPicture		BLOB,
PRIMARY KEY(PokemonID)
);
CREATE TABLE STATS
(PokemonID		INT			NOT NULL,
HP			INT			NOT NULL,
Atk			INT			NOT NULL,
Def			INT 			NOT NULL,
SpAtk			INT			NOT NULL,
SpDef			INT			NOT NULL,
Spd			INT			NOT NULL,
PRIMARY KEY(PokemonID)
);
CREATE TABLE HABITATS
(HabitatID		INT			NOT NULL,
Name			VARCHAR(20)		NOT NULL,
Description		VARCHAR(50)		NOT NULL,
PRIMARY KEY(HabitatID)
);
INSERT INTO pokemon VALUES (1, 'Bulbasaur', 15.2, 28, 12, 4, 1);
INSERT INTO pokemon VALUES (2, 'Ivysaur', 28.7, 39, 12, 4, 1);
INSERT INTO pokemon VALUES (3, 'Venusaur', 220.5, 79, 12, 4, 1);
INSERT INTO pokemon VALUES (4, 'Charmander', 18.7, 24, 10, NULL, 6);
INSERT INTO pokemon VALUES (5, 'Charmeleon', 41.9, 43, 10, NULL, 6);
INSERT INTO pokemon VALUES (6, 'Charizard', 243.6, 67, 10, 3, 6);
INSERT INTO pokemon VALUES (7, 'Squirtle', 19.8, 20, 11, NULL, 3);
INSERT INTO pokemon VALUES (8, 'Wartortle', 49.6, 39, 11, NULL, 3);
INSERT INTO pokemon VALUES (9, 'Blastoise', 188.5, 63, 11, NULL, 3);
INSERT INTO pokemon VALUES (10, 'Caterpie', 6.4, 12, 7, NULL, 2);
INSERT INTO pokemon VALUES (11, 'Metapod', 21.8, 28, 7, NULL, 2);
INSERT INTO pokemon VALUES (12, 'Butterfree', 70.5, 43, 7, 3, 2);
INSERT INTO pokemon VALUES (13, 'Weedle', 7.1, 12, 7, 4, 2);
INSERT INTO pokemon VALUES (14, 'Kakuna', 22, 24, 7, 4, 2);
INSERT INTO pokemon VALUES (15, 'Beedrill', 89.3, 55, 7, 4, 2);
INSERT INTO pokemon VALUES (16, 'Pidgey', 4, 12, 1, 3, 2);
INSERT INTO pokemon VALUES (17, 'Pidgeotto', 66.1, 43, 1, 3, 2);
INSERT INTO pokemon VALUES (18, 'Pidgeot', 87.1, 59, 1, 3, 2);
INSERT INTO pokemon VALUES (19, 'Rattata', 7.7, 12, 1, NULL, 1);
INSERT INTO pokemon VALUES (20, 'Raticate', 40.8, 28, 1, NULL, 1);
INSERT INTO pokemon VALUES (21, 'Spearow', 4.4, 12, 1, 3, 7);
INSERT INTO pokemon VALUES (22, 'Fearow', 83.8, 47, 1, 3, 7);
INSERT INTO pokemon VALUES (23, 'Ekans', 15.2, 69, 4, NULL, 1);
INSERT INTO pokemon VALUES (24, 'Arbok', 143.3, 127, 4, NULL, 1);
INSERT INTO pokemon VALUES (25, 'Pikachu', 13.2, 16, 13, NULL, 1);
INSERT INTO pokemon VALUES (26, 'Raichu', 66.1, 31, 13, NULL, 1);
INSERT INTO pokemon VALUES (27, 'Sandshrew', 26.5, 24, 5, NULL, 7);
INSERT INTO pokemon VALUES (28, 'Sandslash', 65, 39, 5, NULL, 7);
INSERT INTO pokemon VALUES (29, 'Nidoran', 15.4, 16, 4, NULL, 1);
INSERT INTO pokemon VALUES (30, 'Nidorina', 44.1, 31, 4, NULL, 1);
INSERT INTO pokemon VALUES (31, 'Nidoqueen', 132.2, 51, 4, 5, 1);
INSERT INTO pokemon VALUES (32, 'Nidoran', 19.8, 20, 4, NULL, 1);
INSERT INTO pokemon VALUES (33, 'Nidorino', 43, 35, 4, NULL, 1);
INSERT INTO pokemon VALUES (34, 'Nidoking', 136.7, 55, 4, 5, 1);
INSERT INTO pokemon VALUES (35, 'Clefairy', 16.5, 24, 18, NULL, 6);
